EventNameEnglish,EventNameFrench,IsGeneralElection,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,ReturningOfficerName,ReturningOfficeCity,PollingDate,ResignedMPPName,NameOfCandidates,PoliticalInterestCode,TotalValidBallotsCast,PercentOfTotalValidBallotsCast,Plurality,IsMemberOfPreviousLegislature
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,Andrew West,GPO,1069,0.04191828091914359,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,Patrick Mayangi,PCP,2329,0.11690006525121718,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,Keegan Bennett,NAP,100,0.00392126107756254,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,Manon Parrot,NDP,3888,0.15245863069563171,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,J. Justin O'Donnell,OAL,38,0.00190734327159564,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,Above Znoneofthe,NAP,95,0.00476835817898910,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,Lucille Collard,LIB,10403,0.52216031722130201,5372,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,Natalie Montgomery,PCP,5945,0.23311897106109324,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,John Turmel,PAU,32,0.00125480354482001,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,Ben Koczwarski,GPO,1710,0.08583044722180394,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,Gerrie Huenemoerder,OAL,28,0.00109795310171751,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,Myriam Djilane,NDP,5031,0.25252221051046529,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,Julie Fiala,IND,188,0.00943632986999949,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,Stephen Blais,LIB,14302,0.56081875931299505,8357,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,076,Orléans,Orléans,RICHARD LALONDE,OTTAWA,2020-Feb-27,Marie-France Lalonde,Jean-Serge Brisson,LTN,138,0.00541134028703631,0,0
2020 Provincial By-elections Orléans (76) and Ottawa-Vanier,Élections partielles provinciale Orléans (76) et Ottawa-Vani,0,080,Ottawa—Vanier,Ottawa—Vanier,ALLEN FOURNIER,OTTAWA,2020-Feb-27,Nathalie Des Rosiers,Ken Lewis,LTN,129,0.00647492847462731,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,063,Mississauga—Lakeshore,Mississauga—Lakeshore,MARIJKA STADNYK,MISSISSAUGA,2022-Jun-02,Rudy Cuzzetto,GEORGE CESCON,ONP,501,0.01168104453252506,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,006,Bay of Quinte,Baie de Quinte,CHRISTINE MCIVOR,BELLEVILLE,2022-Jun-02,Todd Smith,ALISON KELLY,NDP,9073,0.20921920398468846,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,067,Newmarket—Aurora,Newmarket—Aurora,TINA BASSO,NEWMARKET,2022-Jun-02,Christine Elliott,SYLVAIN ROY,LIB,13069,0.31474122775329335,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,075,Oakville North—Burlington,Oakville-Nord—Burlington,PAM CALLEJA,BURLINGTON,2022-Jun-02,Effie Triantafilopoulos,RHYAN VINCENT-SMITH,NDP,4673,0.09922497080369465,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,106,Thunder Bay—Superior North,Thunder Bay—Supérieur-Nord,JULIO GOMES,THUNDER BAY,2022-Jun-02,Michael Gravelle,ANDY WOLFF,NRT,145,0.00588617358122919,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,003,Aurora—Oak Ridges—Richmond Hill,Aurora—Oak Ridges—Richmond Hill,DEBBIE WONG,AURORA,2022-Jun-02,Michael Parsa,CATHERINE DELLERBA,ONP,732,0.02248226296876439,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,036,Hamilton Centre,Hamilton-Centre,RYAN LEVERTON,HAMILTON,2022-Jun-02,Andrea Horwath,EKATERINI DIMAKIS,LIB,3799,0.13033931450921192,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,072,Nipissing,Nipissing,RONALD ROY,NORTH BAY,2022-Jun-02,Vic Fedeli,SEAN MCCLOCKLIN,GPO,1025,0.03343227111125607,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,107,Timiskaming—Cochrane,Timiskaming—Cochrane,LISE LACHAPELLE,TEMISKAMING SHORES,2022-Jun-02,John Vanthof,KRIS RIVARD,GPO,1485,0.06519162386408534,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,043,Kanata—Carleton,Kanata—Carleton,RICHARD DEROUIN,OTTAWA,2022-Jun-02,Merrilee Fullerton,MELISSA COENRAAD,NDP,11045,0.24237968794575259,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,069,Niagara Falls,Niagara Falls,KATHLEEN QUIQUERO,NIAGARA FALLS,2022-Jun-02,Wayne Gates,WESLEY KAVANAGH,ONP,656,0.01303035118385507,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,075,Oakville North—Burlington,Oakville-Nord—Burlington,PAM CALLEJA,BURLINGTON,2022-Jun-02,Effie Triantafilopoulos,EFFIE TRIANTAFILOPOULOS,PCP,22221,0.47183352797536893,5590,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,032,Glengarry—Prescott—Russell,Glengarry—Prescott—Russell,OLIVER VALZ,HAWKESBURY,2022-Jun-02,Amanda Simard,VICTOR BRASSARD,NBO,1924,0.04335090802577621,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,077,Oshawa,Oshawa,JAMIE NORTON,OSHAWA,2022-Jun-02,Jennifer French,DARYL JANSSEN,NBO,1006,0.02465142493077507,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,103,Sudbury,Sudbury,JOE SHAW,GREATER SUDBURY,2022-Jun-02,Jamie West,MARC DESPATIE,PCP,8519,0.28966337980278816,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,093,Scarborough—Agincourt,Scarborough—Agincourt,LYNDA ROBINSON,TORONTO,2022-Jun-02,Aris Babikian,BENJAMIN LEE TRUONG,NDP,2512,0.08772174884760441,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,020,Don Valley East,Don Valley-Est,SEAN GRANEY,TORONTO,2022-Jun-02,Michael Coteau,DONALD MCMULLEN,ONP,295,0.01050719475708790,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,026,Elgin—Middlesex—London,Elgin—Middlesex—London,CARRIE WOOLLEY,ST. THOMAS,2022-Jun-02,Jeff Yurek,HEATHER JACKSON,LIB,7618,0.17396268639674819,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,098,Scarborough Southwest,Scarborough-Sud-Ouest,EDDY GASPAROTTO,TORONTO,2022-Jun-02,Doly Begum,PETER NAUS,NBO,383,0.01084187284153314,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,028,Etobicoke Centre,Etobicoke-Centre,MARTIN RILEY,TORONTO,2022-Jun-02,Kinga Surma,HEATHER VICKERS-WONG,NDP,3906,0.08612820003969041,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,059,Milton,Milton,MARIELENA LAFEE PEREZ,MILTON,2022-Jun-02,Parm Gill,ORIANA KNOX,GPO,1612,0.04141084594240501,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,022,Don Valley West,Don Valley-Ouest,NASIR ADDETIA,TORONTO,2022-Jun-02,Kathleen Wynne,LAUREL HOBBS,NBO,421,0.01145266594124047,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,047,Kitchener Centre,Kitchener-Centre,CATHY MCINNES,KITCHENER,2022-Jun-02,Laura Mae Lindo,JIM SCHMIDT,PCP,10376,0.26672150532106318,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,093,Scarborough—Agincourt,Scarborough—Agincourt,LYNDA ROBINSON,TORONTO,2022-Jun-02,Aris Babikian,ARIS BABIKIAN,PCP,14040,0.49029194021511384,3368,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,053,London—Fanshawe,London—Fanshawe,MARGARET HOWARD,LONDON,2022-Jun-02,Teresa J. Armstrong,STEPHEN R CAMPBELL,NAP,201,0.00586690017513134,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,035,Haliburton—Kawartha Lakes—Brock,Haliburton—Kawartha Lakes—Brock,KIRK WILLIAMS,KAWARTHA LAKES,2022-Jun-02,Laurie Scott,BEN PRENTICE,NBO,888,0.01814985897069043,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,052,Leeds—Grenville—Thousand Islands and Rideau Lakes,Leeds—Grenville—Thousand Islands et Rideau Lakes,BARBARA MILLS,BROCKVILLE,2022-Jun-02,Steve Clark,FIONA JAGER,GPO,2583,0.06042953396967995,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,088,Renfrew—Nipissing—Pembroke,Renfrew—Nipissing—Pembroke,LEWIS MACDONALD,PEMBROKE,2022-Jun-02,John Yakabuski,KADE MACWILLIAMS,ONP,1162,0.02891410371255101,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,117,Willowdale,Willowdale,MAY LYNNE FONG,TORONTO,2022-Jun-02,Stan Cho,BEN BARONE,NAP,104,0.00329291074312129,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,030,Etobicoke North,Etobicoke-Nord,CHRIS RYBAK,TORONTO,2022-Jun-02,Doug Ford,JULIE LUTETE,LIB,5884,0.23439429550252957,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,057,Markham—Thornhill,Markham—Thornhill,NINA BABIRAD,MARKHAM,2022-Jun-02,Logan Kanapathi,JENNIFER GLEASON,NBO,376,0.01310150179448761,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,083,Parkdale—High Park,Parkdale—High Park,EDWIN LIM,TORONTO,2022-Jun-02,Bhutila Karpoche,DANIELLE HEIGHT,NBO,537,0.01258672417026064,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,052,Leeds—Grenville—Thousand Islands and Rideau Lakes,Leeds—Grenville—Thousand Islands et Rideau Lakes,BARBARA MILLS,BROCKVILLE,2022-Jun-02,Steve Clark,GLENN L. MALCOLM,ONP,536,0.01253977166385925,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,008,Brampton Centre,Brampton-Centre,MALCOLM CHING,BRAMPTON,2022-Jun-02,Sara Singh,CHARMAINE WILLIAMS,PCP,10119,0.41364509667661366,3597,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,061,Mississauga East—Cooksville,Mississauga-Est—Cooksville,,MISSISSAUGA,2022-Jun-02,Kaleed Rasheed,GREGORY TOMCHYSHYN,ONP,625,0.01847581884829135,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,078,Ottawa Centre,Ottawa-Centre,DAVID ALLSTON,OTTAWA,2022-Jun-02,Joel Harden,RAYMOND SAMUELS,PPF,59,0.00105770782165970,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,074,Oakville,Oakville,SUSAN KUN,OAKVILLE,2022-Jun-02,Stephen Crawford,BRUNO SOUSA,GPO,2416,0.05188000601258347,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,050,Lambton—Kent—Middlesex,Lambton—Kent—Middlesex,KIM LEE,CHATHAM-KENT,2022-Jun-02,Monte McNaughton,BRUCE BAKER,LIB,4063,0.09582773178612703,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,040,Hastings—Lennox and Addington,Hastings—Lennox and Addington,CAROL MALESKA,GREATER NAPANEE,2022-Jun-02,Daryl Kramp,TED DARBY,LIB,7102,0.18599413366855227,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,069,Niagara Falls,Niagara Falls,KATHLEEN QUIQUERO,NIAGARA FALLS,2022-Jun-02,Wayne Gates,CHRISTINE LEWIS-NAPOLITANO,NBO,1409,0.02798744636898140,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,111,Toronto—St. Paul's,Toronto—St. Paul's,SCOTT SIMA,TORONTO,2022-Jun-02,Jill Andrew,YEHUDA GOLDBERG,NBO,473,0.01121411128760757,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,122,York South—Weston,York-Sud—Weston,JEROME SCHRIER,TORONTO,2022-Jun-02,Faisal Hassan,IGNACIO MONGRELL GONZALEZ,GPO,770,0.02530231335436382,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,051,Lanark—Frontenac—Kingston,Lanark—Frontenac—Kingston,CHERYL BIRD,SMITHS FALLS,2022-Jun-02,Randy Hillier,JOHN JORDAN,PCP,22142,0.50112028969107163,12996,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,060,Mississauga Centre,Mississauga-Centre,SHALINI ALLELUIA,MISSISSAUGA,2022-Jun-02,Natalia Kusendova,VIKTOR CHORNOPYSKYY,MOD,137,0.00405829729249363,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,120,York Centre,York-Centre,SUZY LAREDO,TORONTO,2022-Jun-02,Roman Baber,MARK DEWDNEY,NAP,169,0.00600824800910125,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,027,Essex,Essex,HEATHER KENNEDY,ESSEX,2022-Jun-02,Taras Natyshak,RON LECLAIR,NDP,13793,0.28275932759327593,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,080,Ottawa—Vanier,Ottawa—Vanier,RACHEL CRETE,OTTAWA,2022-Jun-02,Lucille Collard,CHRISTIAN PROULX,GPO,3019,0.07806479973107853,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,107,Timiskaming—Cochrane,Timiskaming—Cochrane,LISE LACHAPELLE,TEMISKAMING SHORES,2022-Jun-02,John Vanthof,GEOFFREY AITCHISON,ONP,349,0.01532112911014530,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,049,Kitchener South—Hespeler,Kitchener-Sud—Hespeler,CHRISTOPHER GRAVES,KITCHENER,2022-Jun-02,Amy Fee,DAVID GILLIES,ONP,552,0.01600185528756957,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,091,Sarnia—Lambton,Sarnia—Lambton,RYAN WILLIAMS,SARNIA,2022-Jun-02,Bob Bailey,KEITH BENN,NBO,2719,0.06766879868594609,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,123,Kiiwetinoong,Kiiwetinoong,KAREN CARROLL,SIOUX LOOKOUT,2022-Jun-02,Sol Mamakwa,MANUELA MICHELIZZI,LIB,281,0.05899643082091119,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,034,Haldimand—Norfolk,Haldimand—Norfolk,ANNE YURKIV,NORFOLK COUNTY,2022-Jun-02,Toby Barrett,ERIK COVERDALE,GPO,1841,0.04052655909481145,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,019,Davenport,Davenport,ROCCO D'AMICO,TORONTO,2022-Jun-02,Marit Stiles,DITI COUTINHO,ONP,400,0.01127618188481380,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,071,Nickel Belt,Nickel Belt,PAULINE RENAUD,GREATER SUDBURY,2022-Jun-02,France Gélinas,MELANIE SAVOIE,NBO,1522,0.04950076430220834,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,121,York—Simcoe,York—Simcoe,NINA WILLCOCKS,EAST GWILLIMBURY,2022-Jun-02,Caroline Mulroney,CAROLINE MULRONEY,PCP,20789,0.56757125696188708,14470,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,037,Hamilton East—Stoney Creek,Hamilton-Est—Stoney Creek,CATHERINE COUSINS,HAMILTON,2022-Jun-02,Paul Miller,JEFFERY RAULINO,NBO,693,0.01970653472103736,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,102,Stormont—Dundas—South Glengarry,Stormont—Dundas—South Glengarry,ALLEN FOURNIER,CORNWALL,2022-Jun-02,Jim McDonell,KIRSTEN J. GARDNER,LIB,6458,0.17882261726754167,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,013,Brantford—Brant,Brantford—Brant,MICHAEL WYATT,BRANTFORD,2022-Jun-02,Will Bouma,ALLAN WILSON,ONP,640,0.01363065192852426,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,044,Kenora—Rainy River,Kenora—Rainy River,JAYE WESLEY,KENORA,2022-Jun-02,Greg Rickford,GREG RICKFORD,PCP,9567,0.59574070614608630,6368,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,090,St. Catharines,St. Catharines,JOSEPH HENRIQUES,ST. CATHARINES,2022-Jun-02,Jennie Stevens,RIN SIMON,COM,99,0.00229506676557863,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,045,King—Vaughan,King—Vaughan,GEORGE ZOLIS,KING,2022-Jun-02,Stephen Lecce,TATIANA BABITCH,MOD,147,0.00359439567694451,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,075,Oakville North—Burlington,Oakville-Nord—Burlington,PAM CALLEJA,BURLINGTON,2022-Jun-02,Effie Triantafilopoulos,ALI HOSNY,GPO,2027,0.04304066249071026,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,080,Ottawa—Vanier,Ottawa—Vanier,RACHEL CRETE,OTTAWA,2022-Jun-02,Lucille Collard,DAVID MCGRUER,FRE,166,0.00429240038269593,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,020,Don Valley East,Don Valley-Est,SEAN GRANEY,TORONTO,2022-Jun-02,Michael Coteau,STELLA KARGIANNAKIS,IND,192,0.00683858099444365,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,089,Richmond Hill,Richmond Hill,RENU DUGGAL,RICHMOND HILL,2022-Jun-02,Daisy Wai,ROOZBEH FARHADI,LIB,9825,0.31903493960254578,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,104,Thornhill,Thornhill,ANDREA PRONMAN,VAUGHAN,2022-Jun-02,Gila Martow,YAKOV ZARKHINE,NBO,931,0.02696831006314813,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,005,Barrie—Springwater—Oro-Medonte,Barrie—Springwater—Oro-Medonte,ANITA HAMILTON-LAKING,BARRIE,2022-Jun-02,Doug Downey,DOUG DOWNEY,PCP,16631,0.42103797468354430,296,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,015,Burlington,Burlington,MARY-ELLEN HEIMAN,BURLINGTON,2022-Jun-02,Jane McKenna,KYLE HUTTON,GPO,3515,0.06692688499619192,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,029,Etobicoke—Lakeshore,Etobicoke—Lakeshore,WENDY GIBBS,TORONTO,2022-Jun-02,Christine Hogarth,VITAS NAUDZIUNAS,NAP,181,0.00377350623358212,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,052,Leeds—Grenville—Thousand Islands and Rideau Lakes,Leeds—Grenville—Thousand Islands et Rideau Lakes,BARBARA MILLS,BROCKVILLE,2022-Jun-02,Steve Clark,CHRIS WILSON,NDP,5799,0.13566816395283548,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,044,Kenora—Rainy River,Kenora—Rainy River,JAYE WESLEY,KENORA,2022-Jun-02,Greg Rickford,CATHERINE KIEWNING,GPO,608,0.03786038981256616,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,117,Willowdale,Willowdale,MAY LYNNE FONG,TORONTO,2022-Jun-02,Stan Cho,CHARLES RODDY SUTHERLAND,IND,61,0.00193141880125383,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,011,Brampton South,Brampton-Sud,JANICE BARBER,BRAMPTON,2022-Jun-02,Prabmeet Singh Sarkaria,MARILYN RAPHAEL,LIB,7957,0.27819732885812180,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,079,Ottawa South,Ottawa-Sud,SUSAN DENNISON,OTTAWA,2022-Jun-02,John Fraser,MARTIN INCE,NBO,675,0.01666666666666666,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,114,Waterloo,Waterloo,DIANE ALMEIDA,WATERLOO,2022-Jun-02,Catherine Fife,ANDREW AITKEN,PCP,13176,0.29330840122879658,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,115,Wellington—Halton Hills,Wellington—Halton Hills,YOLANDA FELLOWS,HALTON HILLS,2022-Jun-02,Ted Arnott,TED ARNOTT,PCP,25049,0.50611197543086901,17325,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,084,Parry Sound—Muskoka,Parry Sound—Muskoka,KIM BORDELEAU,HUNTSVILLE,2022-Jun-02,Norm Miller,DOUG MAYNARD,NBO,883,0.01981686790250908,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,094,Scarborough Centre,Scarborough-Centre,GERALD HENDERSON,TORONTO,2022-Jun-02,Christina Mitas,MAZHAR SHAFIQ,LIB,9678,0.30368069283629859,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,001,Ajax,Ajax,SHERRI GAUVREAU,AJAX,2022-Jun-02,Rod Phillips,AMBER BOWEN,LIB,13561,0.35983230291612492,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,123,Kiiwetinoong,Kiiwetinoong,KAREN CARROLL,SIOUX LOOKOUT,2022-Jun-02,Sol Mamakwa,SOL MAMAKWA,NDP,2742,0.57568759185387360,1316,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,061,Mississauga East—Cooksville,Mississauga-Est—Cooksville,,MISSISSAUGA,2022-Jun-02,Kaleed Rasheed,KHAWAR HUSSAIN,NDP,3664,0.10831264041622324,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,006,Bay of Quinte,Baie de Quinte,CHRISTINE MCIVOR,BELLEVILLE,2022-Jun-02,Todd Smith,EMILIE LENEVEU,LIB,8003,0.18454549647189042,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,016,Cambridge,Cambridge,LINDA LACHANCE,CAMBRIDGE,2022-Jun-02,Belinda Karahalios,MARJORIE KNIGHT,NDP,8745,0.22194868150554554,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,109,Toronto Centre,Toronto-Centre,CAROLYN MCGILL STROBEL,TORONTO,2022-Jun-02,Suze Morrison,DAVID MORRIS,LIB,12820,0.36711434380458749,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,119,Windsor West,Windsor-Ouest,APRIL KUZNIAK-ADAMS,WINDSOR,2022-Jun-02,Lisa Gretzky,JOSHUA GRIFFIN,NBO,630,0.01984126984126984,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,038,Hamilton Mountain,Hamilton Mountain,JIM NELSON,HAMILTON,2022-Jun-02,Monique Taylor,MIKE SPADAFORA,PCP,10211,0.30002350590585884,0,0
