EventNameEnglish,EventNameFrench,IsGeneralElection,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,ReturningOfficerName,ReturningOfficeCity,PollingDate,ResignedMPPName,NameOfCandidates,PoliticalInterestCode,TotalValidBallotsCast,PercentOfTotalValidBallotsCast,Plurality,IsMemberOfPreviousLegislature
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,054,London North Centre,London-Centre-Nord,EDWARD THOMPSON,LONDON,2022-Jun-02,Terence Devin Kernaghan,GEORGE LE MAC,CNS,147,0.00341186027619821,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,061,Mississauga East—Cooksville,Mississauga-Est—Cooksville,,MISSISSAUGA,2022-Jun-02,Kaleed Rasheed,WIKTOR JACHTHOLTZ,MOD,121,0.00357691852902920,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,042,Huron—Bruce,Huron—Bruce,JACQUIE BISHOP,HURON EAST,2022-Jun-02,Lisa Thompson,SHELLEY BLACKMORE,LIB,8775,0.18713213341294890,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,053,London—Fanshawe,London—Fanshawe,MARGARET HOWARD,LONDON,2022-Jun-02,Teresa J. Armstrong,JANE KOVARIKOVA,PCP,11224,0.32761237594862813,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,062,Mississauga—Erin Mills,Mississauga—Erin Mills,MONICA KEFENTSE,MISSISSAUGA,2022-Jun-02,Sheref Sabawy,FARINA HASSAN,NDP,4521,0.12141802067946824,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,014,Bruce—Grey—Owen Sound,Bruce—Grey—Owen Sound,LINDA VAN AALST,OWEN SOUND,2022-Jun-02,Bill Walker,RICK BYERS,PCP,20304,0.48561383368013202,11805,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,014,Bruce—Grey—Owen Sound,Bruce—Grey—Owen Sound,LINDA VAN AALST,OWEN SOUND,2022-Jun-02,Bill Walker,JOSEPH WESTOVER,PPR,248,0.00593145344526559,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,065,Mississauga—Streetsville,Mississauga—Streetsville,LINDA THOMAS,MISSISSAUGA,2022-Jun-02,Nina Tangri,FOURAT JAJOU,PPR,72,0.00189528547737502,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,066,Nepean,Nepean,NORMAN POWROZ,OTTAWA,2022-Jun-02,Lisa MacLeod,KATHLEEN CORRIVEAU,NBO,964,0.02210147419584107,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,118,Windsor—Tecumseh,Windsor—Tecumseh,MARK MOORE,TECUMSEH,2022-Jun-02,Percy Hatfield,LAURA CHESNIK,IND,204,0.00529169152551165,0,0
